3,Trump: Netanyahu should 'hold back' on settlements,"President Donald Trump told Israeli Prime Minister Benjamin Netanyahu Wednesday that the US is going to push for a peace deal with the Palestinians and asked Israel ""to hold back"" on settlement construction.",cnn
3,"Trump: UN treats Israel 'very, very unfairly' - CNN Video",President Donald Trump and Israeli Prime Minister Benjamin Netanyahu hold a joint press conference at the White House.,cnn
3,Where Trump and Netanyahu stand on key issues,"""Tomorrow's world will be different -- and it is very near."" Those were the words of Israeli Prime Minister Benjamin Netanyahu as he dismissed last month's Mideast peace conference in Paris as ""useless,"" instead focusing on the inauguration of US President Donald Trump just days later.",cnn
3,Trump: West Bank settlements 'don't help' the peace process,"President Donald Trump told Israeli newspaper Israel Hayom, that he is ""not somebody that believes that going forward with ... settlements is a good thing for peace,"" in an interview billed as his first with Israeli media since taking office.",cnn
3,Trump watch: Live coverage,President Trump hosts world leaders. Michael Flynn has resigned. There will be high-stakes cabinet votes and more executive actions. We're covering Trump's fourth week in office here.,cnn
3,Why Netanyahu must stand up to Israel's right,"Israel is at a crossroads: two states or not two states. Of course, the world does not expect a deal to be made tomorrow -- or even soon. But it does want to hear from Israel that there has been no paradigm shift, no retreat to the old dream of a Greater Israel by annexation, and no abandonment of the commitment to Palestinian statehood.",cnn
3,Flynn called victim of political assassination - CNN Video,"Iowa Rep. Steve King says General Michael Flynn has been subject to ""political assassination.""",cnn
3,Trump aides were in constant touch with senior Russian officials during campaign,"High-level advisers close to then-presidential nominee Donald Trump were in constant communication during the campaign with Russians known to US intelligence, multiple current and former intelligence, law enforcement and administration officials tell CNN.",cnn
6,Will this undocumented mom be there when her kids get home today?,"Like parents around the country, Jeanette Vizguerra kissed her kids last night and sent them to bed. But unlike many moms, she may not be there when they get home from school today.",cnn
6,"In college, Trump aide Stephen Miller led controversial 'Terrorism Awareness Project' warning of 'Islamofascism'",White House senior policy adviser Stephen Miller has garnered attention in recent weeks as one of the chief architects behind President Donald Trump's executive order temporarily banning travel from seven Muslim-majority countries.,cnn
6,Andrew Puzder withdraws as a labor secretary nominee,"Andrew Puzder has withdrawn as President Donald Trump's choice for labor secretary, a dramatic decision caused by a GOP revolt that claimed the first Cabinet nominee of the new administration.",cnn
6,8 reasons Andrew Puzder's nomination is a mess,"Here are all the reasons Andy Puzder, Trump's pick for Labor secretary, is having a no good, very bad time getting confirmed.",cnn
6,Puzder's ex-wife defends Labor nominee against abuse allegations,The ex-wife of Labor Secretary nominee Andy Puzder is privately telling senators that she made a mistake decades ago in leveling domestic abuse charges against him and appearing in disguise on Oprah Winfrey's TV show to talk about her situation.,cnn
6,Flynn's security clearance suspended 'pending review',"Former national security adviser Michael Flynn's security clearance has been suspended ""pending review,"" a Defense Intelligence Agency spokesman told CNN Wednesday.",cnn
6,Pentagon might propose ground troops for Syria,"The Defense Department might propose that the US send conventional ground combat forces into northern Syria for the first time to speed up the fight against ISIS, CNN has learned.",cnn
6,Republicans may bring earmarks back,"Earmarks, the simultaneously hated and beloved DC tool that lets lawmakers direct money to specific programs and projects, may be coming back.",cnn
6,'A resurgence of white nationalism': Hate groups spiked in 2016,"The number of hate groups in America spiked in 2016, according to the Southern Poverty Law Center.",cnn
6,Tapper calls out Trump on conspiracy theories - CNN Video,"CNN's Jake Tapper discusses how President Donald Trump handled the resignation of National Security Adviser Michael Flynn, and how Trump's comments claiming the media was creating ""conspiracy theories"" were false.",cnn
6,The irony of Trump whining about leaks,"There is some poetic justice in seeing the man who was made President because of leaks potentially hobbled by ones that may legitimately reveal wrongdoing, writes Paul Begala.",cnn
6,Inside Andrew Puzder's failed nomination,"In the end, Andrew Puzder had too much baggage -- both personal and professional -- to be confirmed as President Donald Trump's Cabinet.",cnn
6,Clinton adviser: I never spoke to Russia - CNN Video,"As the fallout from Michael Flynn's resignation continues, former national security adviser to Hillary Clinton, Jake Sullivan, says no one from the Clinton campaign ever reached out to Russia during the 2016 presidential campaign.",cnn
6,"Chaffetz, Goodlatte ask government watchdog to investigate leaks",Two top House Republicans asked the Inspector General on Wednesday to investigate leaks surrounding the ouster of former national security adviser Michael Flynn.,cnn
6,Watch Trump ignore several questions on Russia  - CNN Video,"CNN's Jim Acosta, Sara Murray and Joe Johns all received the cold shoulder when they attempted to ask President Donald Trump for comment on reported contacts between his senior advisers and suspected Russian operatives during his campaign.",cnn
6,"DC preps for 'Day Without Immigrants,' but Hill takes little notice","Washington, DC, restaurants and schools are preparing for a ""Day Without Immigrants"" protest Thursday, but so far, policymakers who live in the nation's capital haven't taken much notice.",cnn
6,Women's March organizers set date for general strike,"The organizers of the Women's March on Washington have set the date for their general strike, dubbed ""A Day Without A Woman,"" for March 8, which is International Women's Day.",cnn
7,Boeing workers in South Carolina overwhelmingly reject union,Workers at Boeing's South Carolina plant go to polls to vote on whether to unionize.,cnn
3,Trump backs off two-state Israeli-Palestinian framework,"President Donald Trump rejected the long-established US framework for Middle East peacemaking at a White House visit with Israeli Prime Minister Benjamin Netanyahu Wednesday as he announced his desire to reach ""the ultimate deal.""",cnn
6,National Security Council vacuum sparks crisis fears,The vacant spot atop the National Security Council is triggering anxiety that the White House is ill-prepared to face a sudden foreign policy crisis amid fresh concern about politics at play in the Situation Room.,cnn
6,Trump administration lags in filling key posts,"Trump's administration remains largely unfilled four weeks into his presidency, with just 34 of nearly 700 key Senate-confirmed positions having a candidate announced",cnn
6,Cruz calls for John Bolton as security adviser - CNN Video,Sen. Ted Cruz (R-TX) says he thinks former US Ambassador to the United Nations John Bolton is a strong candidate for President Trump's national security adviser.,cnn
6,Haass warns of 'real doubts' among allies over US reliability,"A leading foreign policy expert cautioned Friday that the Trump administration's departure from traditional US foreign policy positions has created ""real doubts"" among allies.",cnn
3,Russian provocation: Bluster or genuine peril,"There's a Russian spy ship off the coast of Connecticut. Crammed with eavesdropping equipment, the Viktor Leonov's visit is the latest in a string of provocations.",cnn
12,2 dead as storm rips through Southern California,"Heavy rains slammed Southern California on Friday, killing two people, downing power lines and leaving cars submerged on the streets.",cnn
3,China grants Trump a trademark he's been seeking for a decade,China moves quickly to grant Trump a trademark he's been seeking for a decade.,cnn
3,Suspect in Kim Jong Nam's death thought it was a prank,"A suspect in the death of the North Korean leader's half brother thought she was participating in a television show when she squirted liquid in his face, police said.",cnn
1,Columbia accidentally accepts students,"Columbia University mistakenly emailed 277 master's program applicants that they were accepted, only to quickly rescind the offer, blaming it on ""human error.""",cnn
12,Antarctic sea ice reaches record low,"There is currently less sea ice surrounding the Antarctic continent than at any point since reliable records began in 1979, taking away a key argument from climate change skeptics.",cnn
3,Pence: US 'strongly supports NATO'  - CNN Video,"Vice President Mike Pence assures allies that the United States will be ""unwavering"" in its commitment to NATO.",cnn
3,Pence: U.S. will hold Russia accountable,"Seeking to assuage European fears about refreshed Washington-Moscow ties, Vice President Mike Pence told leaders here Saturday that the United States would hold Russia accountable for its actions even as it works to locate new areas for cooperation.",cnn
3,McCain: People are 'giving up on the West' - CNN Video,"CNN's Fareed Zakaria says Sen. John McCain's speech at a security conference was ""directly about Donald Trump.""",cnn
3,Murder suspect thought she was in TV prank - CNN Video,A suspect in the murder of Kim Jong Nam is accused of spraying him in the face with a potentially lethal substance from a perfume bottle. The woman told police she thought it was a harmless prank. CNN's Brian Todd reports.,cnn
6,There's one thing going right for Trump: The economy,Plenty of reporters say his White House is in 'chaos.' But there's one big thing going right for him right now: The U.S. economy.,cnn
10,Car celebrity Richard Hammond talks about launching the DriveTribe startup,"DriveTribe, the content startup aimed at motoring enthusiasts, was launched last year by former Top Gear presenters Jeremy Clarkson, Richard Hammond and James..",techcrunch
